Place,Horse_No,Horse_Name,Jockey,Trainer,Actual_Weight,Declare_Horse_Wt,Draw,LBW,RunningPos,Finish_Time,Win_Odds,Class,Loc,Length,Going,Track,Year,Month,Day,RaceNo
4,7,馬主星輝(B427),班德禮,蘇偉賢,131,1131,12,1-3/4,11 10 10 10 4 ,1:50.39,32,第五班,HV,1800米,好地,"草地 - ""B"" 賽道",2022,3,9,482
5 平頭馬,5,旺旺寶駒(C418),梁家俊,何良,132,1081,3,2,2 3 4 4 5 ,1:50.40,3.7,第五班,HV,1800米,好地,"草地 - ""B"" 賽道",2022,3,9,482
5 平頭馬,8,華美福星(E086),田泰安,告東尼,128,1126,7,2,1 1 2 2 5 ,1:50.40,9.7,第五班,HV,1800米,好地,"草地 - ""B"" 賽道",2022,3,9,482
7,12,波哥哥(E239),馬雅,苗禮德,119,1134,1,2,4 6 6 6 7 ,1:50.43,6.1,第五班,HV,1800米,好地,"草地 - ""B"" 賽道",2022,3,9,482
8,2,福善(C426),薛恩,高伯新,133,1107,6,3-1/4,3 2 3 3 8 ,1:50.63,32,第五班,HV,1800米,好地,"草地 - ""B"" 賽道",2022,3,9,482
9,9,總統之星(C170),莫丹尼,沈集成,120,1121,2,4,5 5 5 5 9 ,1:50.73,33,第五班,HV,1800米,好地,"草地 - ""B"" 賽道",2022,3,9,482
10,11,生生福運(D274),何澤堯,徐雨石,119,1009,9,5-1/4,10 9 9 11 10 ,1:50.92,23,第五班,HV,1800米,好地,"草地 - ""B"" 賽道",2022,3,9,482
11,1,奮鬥之星(E247),霍宏聲,姚本輝,133,1129,5,8-1/4,6 7 7 9 11 ,1:51.42,66,第五班,HV,1800米,好地,"草地 - ""B"" 賽道",2022,3,9,482
12,3,醉醒神(B436),賀銘年,丁冠豪,132,1106,10,9,12 12 12 12 12 ,1:51.54,28,第五班,HV,1800米,好地,"草地 - ""B"" 賽道",2022,3,9,482
Place,Horse_No,Horse_Name,Jockey,Trainer,Actual_Weight,Declare_Horse_Wt,Draw,LBW,RunningPos,Finish_Time,Win_Odds,Class,Loc,Length,Going,Track,Year,Month,Day,RaceNo
1,3,各取所需(C474),希威森,韋達,132,1068,5,-,3 3 1 ,1:10.20,9.9,第五班,HV,1200米,好地,"草地 - ""B"" 賽道",2022,3,9,483
2,6,雪茄之友(D299),賀銘年,丁冠豪,124,1101,7,3/4,1 1 2 ,1:10.31,5.8,第五班,HV,1200米,好地,"草地 - ""B"" 賽道",2022,3,9,483
3,8,坪山新星(C242),蔡明紹,鄭俊偉,121,1012,3,2-1/2,9 9 3 ,1:10.59,3.4,第五班,HV,1200米,好地,"草地 - ""B"" 賽道",2022,3,9,483
4,1,旋里多彩(B469),田泰安,徐雨石,133,1092,8,2-1/2,2 2 4 ,1:10.60,4.5,第五班,HV,1200米,好地,"草地 - ""B"" 賽道",2022,3,9,483
5,12,威力喜(D074),巫顯東,何良,111,969,1,2-3/4,6 6 5 ,1:10.66,29,第五班,HV,1200米,好地,"草地 - ""B"" 賽道",2022,3,9,483
6,4,吉利大勝(D122),薛恩,高伯新,129,1178,2,3-1/2,4 5 6 ,1:10.78,7.6,第五班,HV,1200米,好地,"草地 - ""B"" 賽道",2022,3,9,483
7,2,無可估計(E378),周俊樂,大衛希斯,130,1033,10,4,11 11 7 ,1:10.85,52,第五班,HV,1200米,好地,"草地 - ""B"" 賽道",2022,3,9,483
8,7,得福(E295),波健士,蘇保羅,123,1060,9,4-3/4,7 8 8 ,1:10.95,50,第五班,HV,1200米,好地,"草地 - ""B"" 賽道",2022,3,9,483
9,9,帝豪精彩(D010),莫丹尼,容天鵬,121,1238,11,5,5 4 9 ,1:11.01,11,第五班,HV,1200米,好地,"草地 - ""B"" 賽道",2022,3,9,483
10,5,紅磚閃耀(E405),霍宏聲,姚本輝,127,1030,12,6-1/4,8 7 10 ,1:11.21,45,第五班,HV,1200米,好地,"草地 - ""B"" 賽道",2022,3,9,483
11,10,鼓浪陽光(E063),莫雷拉,呂健威,117,1154,6,7-1/2,10 10 11 ,1:11.41,8.9,第五班,HV,1200米,好地,"草地 - ""B"" 賽道",2022,3,9,483
WV-A,11,鑲藍旗(C167),潘明輝,文家良,113,---,---,---,---,---,---,第五班,HV,1200米,好地,"草地 - ""B"" 賽道",2022,3,9,483
Place,Horse_No,Horse_Name,Jockey,Trainer,Actual_Weight,Declare_Horse_Wt,Draw,LBW,RunningPos,Finish_Time,Win_Odds,Class,Loc,Length,Going,Track,Year,Month,Day,RaceNo
1,8,電路七號(D474),潘明輝,告東尼,126,1126,3,-,2 2 1 ,0:57.04,8.7,第四班,HV,1000米,好地,"草地 - ""B"" 賽道",2022,3,9,484
2,12,令才(D350),梁家俊,蘇偉賢,118,1087,1,頸位,3 4 2 ,0:57.08,25,第四班,HV,1000米,好地,"草地 - ""B"" 賽道",2022,3,9,484
3,4,富高八斗(B473),莫雷拉,姚本輝,132,1150,5,3/4,5 5 3 ,0:57.18,3.5,第四班,HV,1000米,好地,"草地 - ""B"" 賽道",2022,3,9,484
4,11,超額認購(C361),薛恩,賀賢,123,1165,4,1,6 7 4 ,0:57.22,8,第四班,HV,1000米,好地,"草地 - ""B"" 賽道",2022,3,9,484
5,3,過河勁卒(C381),潘頓,蔡約翰,133,1062,8,1-1/4,8 6 5 ,0:57.24,5.8,第四班,HV,1000米,好地,"草地 - ""B"" 賽道",2022,3,9,484
6,7,贏多多(C004),賀銘年,丁冠豪,129,1080,2,1-1/2,9 10 6 ,0:57.27,6.7,第四班,HV,1000米,好地,"草地 - ""B"" 賽道",2022,3,9,484
7,9,想見你(G247),莫丹尼,沈集成,128,1052,11,1-3/4,11 9 7 ,0:57.32,9.5,第四班,HV,1000米,好地,"草地 - ""B"" 賽道",2022,3,9,484
8,5,輗多福(E105),蔡明紹,徐雨石,131,1237,6,2-1/4,1 1 8 ,0:57.41,21,第四班,HV,1000米,好地,"草地 - ""B"" 賽道",2022,3,9,484
9,1,龍騰飛翔(E360),霍宏聲,葉楚航,133,1213,10,2-1/4,12 12 9 ,0:57.41,14,第四班,HV,1000米,好地,"草地 - ""B"" 賽道",2022,3,9,484
10,2,嘉應精神(E217),周俊樂,大衛希斯,130,1153,12,2-3/4,7 8 10 ,0:57.48,23,第四班,HV,1000米,好地,"草地 - ""B"" 賽道",2022,3,9,484
11,10,嘭嘭聲(D015),巫顯東,容天鵬,125,1182,7,4,4 3 11 ,0:57.67,25,第四班,HV,1000米,好地,"草地 - ""B"" 賽道",2022,3,9,484
12,6,無限商機(C432),田泰安,文家良,130,1169,9,4-1/4,10 11 12 ,0:57.70,39,第四班,HV,1000米,好地,"草地 - ""B"" 賽道",2022,3,9,484
WV,,快意(G148),---,韋達,132,---,---,---,---,---,---,第四班,HV,1000米,好地,"草地 - ""B"" 賽道",2022,3,9,484
Place,Horse_No,Horse_Name,Jockey,Trainer,Actual_Weight,Declare_Horse_Wt,Draw,LBW,RunningPos,Finish_Time,Win_Odds,Class,Loc,Length,Going,Track,Year,Month,Day,RaceNo
1,10,志勝時機(E444),莫雷拉,蔡約翰,118,1061,3,-,5 5 1 ,1:09.45,3,第三班,HV,1200米,好地,"草地 - ""B"" 賽道",2022,3,9,485
2,2,勇創派對(E368),潘頓,呂健威,131,1039,2,1-1/4,4 4 2 ,1:09.64,2.2,第三班,HV,1200米,好地,"草地 - ""B"" 賽道",2022,3,9,485
3,9,紅衣火旺(E084),蔡明紹,羅富全,119,1140,9,3,3 3 3 ,1:09.90,12,第三班,HV,1200米,好地,"草地 - ""B"" 賽道",2022,3,9,485
4,7,終身美麗(E275),波健士,告東尼,122,1171,4,3-1/2,2 1 4 ,1:10.01,6.7,第三班,HV,1200米,好地,"草地 - ""B"" 賽道",2022,3,9,485
5,4,嘉應精彩(C526),周俊樂,容天鵬,123,1081,10,5,10 10 5 ,1:10.25,35,第三班,HV,1200米,好地,"草地 - ""B"" 賽道",2022,3,9,485
6,3,宜春輝煌(D385),希威森,韋達,126,1090,6,5,1 2 6 ,1:10.26,28,第三班,HV,1200米,好地,"草地 - ""B"" 賽道",2022,3,9,485
7,8,忠肝義膽(G153),潘明輝,葉楚航,119,1208,1,6-3/4,6 6 7 ,1:10.51,42,第三班,HV,1200米,好地,"草地 - ""B"" 賽道",2022,3,9,485
8,6,悅跑得(C502),楊明綸,大衛希斯,125,1194,8,8-1/2,9 8 8 ,1:10.81,81,第三班,HV,1200米,好地,"草地 - ""B"" 賽道",2022,3,9,485
9,1,一簾風月(G238),田泰安,沈集成,132,1108,5,10,8 9 9 ,1:11.05,17,第三班,HV,1200米,好地,"草地 - ""B"" 賽道",2022,3,9,485
10,5,神駿馬車(D156),賀銘年,姚本輝,125,1073,7,13,7 7 10 ,1:11.53,17,第三班,HV,1200米,好地,"草地 - ""B"" 賽道",2022,3,9,485
Place,Horse_No,Horse_Name,Jockey,Trainer,Actual_Weight,Declare_Horse_Wt,Draw,LBW,RunningPos,Finish_Time,Win_Odds,Class,Loc,Length,Going,Track,Year,Month,Day,RaceNo
1,6,好時節(G107),潘頓,文家良,128,1124,2,-,1 1 1 ,1:10.00,3,第四班,HV,1200米,好地,"草地 - ""B"" 賽道",2022,3,9,486
2,8,桃花盛(D234),田泰安,告東尼,128,1240,12,頸位,4 4 2 ,1:10.05,10,第四班,HV,1200米,好地,"草地 - ""B"" 賽道",2022,3,9,486
3,5,闖一(G108),薛恩,大衛希斯,128,1067,6,3/4,3 3 3 ,1:10.14,13,第四班,HV,1200米,好地,"草地 - ""B"" 賽道",2022,3,9,486
4,7,領航神駒(G015),希威森,高伯新,128,1088,1,1-1/4,6 6 4 ,1:10.22,20,第四班,HV,1200米,好地,"草地 - ""B"" 賽道",2022,3,9,486
5,2,三生好運(C359),蔡明紹,羅富全,133,1124,3,1-1/2,5 5 5 ,1:10.24,7.2,第四班,HV,1200米,好地,"草地 - ""B"" 賽道",2022,3,9,486
6,12,仲得威(E079),波健士,呂健威,116,1070,4,2,7 8 6 ,1:10.33,12,第四班,HV,1200米,好地,"草地 - ""B"" 賽道",2022,3,9,486
7,11,自來金(E402),莫雷拉,韋達,122,1110,7,2-3/4,10 9 7 ,1:10.46,5.7,第四班,HV,1200米,好地,"草地 - ""B"" 賽道",2022,3,9,486
8,4,箭意(D106),周俊樂,蘇保羅,129,1192,8,3,9 10 8 ,1:10.48,14,第四班,HV,1200米,好地,"草地 - ""B"" 賽道",2022,3,9,486
9,3,大師級(C271),班德禮,丁冠豪,132,1153,9,3,12 11 9 ,1:10.49,8.7,第四班,HV,1200米,好地,"草地 - ""B"" 賽道",2022,3,9,486
10,10,正本雄心(V303),梁家俊,容天鵬,122,1172,10,3-1/2,11 12 10 ,1:10.56,58,第四班,HV,1200米,好地,"草地 - ""B"" 賽道",2022,3,9,486
11,9,鴻圖巨星(C163),賀銘年,葉楚航,125,1091,5,4-1/4,8 7 11 ,1:10.70,25,第四班,HV,1200米,好地,"草地 - ""B"" 賽道",2022,3,9,486
12,1,零距離(D453),何澤堯,徐雨石,133,1080,11,6,2 2 12 ,1:10.96,24,第四班,HV,1200米,好地,"草地 - ""B"" 賽道",2022,3,9,486
Place,Horse_No,Horse_Name,Jockey,Trainer,Actual_Weight,Declare_Horse_Wt,Draw,LBW,RunningPos,Finish_Time,Win_Odds,Class,Loc,Length,Going,Track,Year,Month,Day,RaceNo
1,4,戰鬥英雄(D050),陳嘉熙,方嘉柏,122,1105,3,-,4 4 1 ,1:10.07,6.6,第四班,HV,1200米,好地,"草地 - ""B"" 賽道",2022,3,9,487
2,1,量化歡騰(D049),莫雷拉,韋達,133,1168,12,3/4,1 1 2 ,1:10.19,6.8,第四班,HV,1200米,好地,"草地 - ""B"" 賽道",2022,3,9,487
3,8,月球(D409),蔡明紹,蘇保羅,123,1120,1,1-1/4,3 3 3 ,1:10.26,5.1,第四班,HV,1200米,好地,"草地 - ""B"" 賽道",2022,3,9,487
4,11,峰爭(D472),潘頓,羅富全,121,1102,2,1-1/4,2 2 4 ,1:10.27,4.1,第四班,HV,1200米,好地,"草地 - ""B"" 賽道",2022,3,9,487
5,5,越駿知己(G033),何澤堯,姚本輝,126,1126,11,2,11 11 5 ,1:10.41,10,第四班,HV,1200米,好地,"草地 - ""B"" 賽道",2022,3,9,487
6,10,福滿寶(D118),潘明輝,賀賢,119,1050,7,3-1/2,10 10 6 ,1:10.63,11,第四班,HV,1200米,好地,"草地 - ""B"" 賽道",2022,3,9,487
7,6,瀟灑一生(G243),希威森,高伯新,126,1184,6,4,6 5 7 ,1:10.72,83,第四班,HV,1200米,好地,"草地 - ""B"" 賽道",2022,3,9,487
8,12,五邑之星(D503),楊明綸,徐雨石,115,1081,8,4-1/4,9 8 8 ,1:10.76,38,第四班,HV,1200米,好地,"草地 - ""B"" 賽道",2022,3,9,487
9,7,醒目勇駒(B456),田泰安,蘇偉賢,126,1139,10,4-1/4,8 9 9 ,1:10.78,19,第四班,HV,1200米,好地,"草地 - ""B"" 賽道",2022,3,9,487
10,9,天足貓(G166),周俊樂,苗禮德,119,1021,4,4-1/2,5 6 10 ,1:10.81,8.4,第四班,HV,1200米,好地,"草地 - ""B"" 賽道",2022,3,9,487
11,2,尊才(D418),梁家俊,葉楚航,131,1085,9,5-3/4,12 12 11 ,1:11.01,59,第四班,HV,1200米,好地,"草地 - ""B"" 賽道",2022,3,9,487
12,3,游戲人間(E453),馬雅,沈集成,127,1008,5,6-3/4,7 7 12 ,1:11.15,14,第四班,HV,1200米,好地,"草地 - ""B"" 賽道",2022,3,9,487
Place,Horse_No,Horse_Name,Jockey,Trainer,Actual_Weight,Declare_Horse_Wt,Draw,LBW,RunningPos,Finish_Time,Win_Odds,Class,Loc,Length,Going,Track,Year,Month,Day,RaceNo
1,6,龍來了(E222),潘頓,韋達,124,1252,8,-,11 11 1 1 ,1:40.64,2.1,第四班,HV,1650米,好地,"草地 - ""B"" 賽道",2022,3,9,488
2,7,鎂之妙(C416),莫雷拉,容天鵬,124,1208,7,頸位,8 8 9 2 ,1:40.69,3.6,第四班,HV,1650米,好地,"草地 - ""B"" 賽道",2022,3,9,488
3,1,觔斗雲(E249),班德禮,姚本輝,132,1123,2,2-1/2,1 1 2 3 ,1:41.03,4.6,第四班,HV,1650米,好地,"草地 - ""B"" 賽道",2022,3,9,488
4,3,晉神(C476),薛恩,葉楚航,125,1059,1,3,6 6 7 4 ,1:41.13,20,第四班,HV,1650米,好地,"草地 - ""B"" 賽道",2022,3,9,488
5,5,電子傳奇(G028),周俊樂,文家良,121,1089,6,3-1/2,2 3 4 5 ,1:41.19,25,第四班,HV,1650米,好地,"草地 - ""B"" 賽道",2022,3,9,488
6,8,八騎士(E163),莫丹尼,沈集成,123,1054,4,5,3 4 5 6 ,1:41.43,30,第四班,HV,1650米,好地,"草地 - ""B"" 賽道",2022,3,9,488
7,11,天空之城(E370),田泰安,呂健威,120,1040,12,5-1/2,9 9 6 7 ,1:41.50,31,第四班,HV,1650米,好地,"草地 - ""B"" 賽道",2022,3,9,488
8,12,恆駿之寶(E311),楊明綸,蘇偉賢,118,1031,3,5-1/2,7 7 10 8 ,1:41.53,134,第四班,HV,1650米,好地,"草地 - ""B"" 賽道",2022,3,9,488
9,2,噴火龍(B463),霍宏聲,苗禮德,128,998,5,5-3/4,4 5 8 9 ,1:41.57,18,第四班,HV,1650米,好地,"草地 - ""B"" 賽道",2022,3,9,488
10,9,盈嘉輝(C080),何澤堯,徐雨石,121,1079,11,6,5 2 3 10 ,1:41.62,60,第四班,HV,1650米,好地,"草地 - ""B"" 賽道",2022,3,9,488
11,4,怡昌勇士(E025),潘明輝,賀賢,123,1069,10,7-1/4,12 12 11 11 ,1:41.81,80,第四班,HV,1650米,好地,"草地 - ""B"" 賽道",2022,3,9,488
12,10,荷花福星(C311),波健士,蘇保羅,120,1132,9,15-3/4,10 10 12 12 ,1:43.17,167,第四班,HV,1650米,好地,"草地 - ""B"" 賽道",2022,3,9,488
Place,Horse_No,Horse_Name,Jockey,Trainer,Actual_Weight,Declare_Horse_Wt,Draw,LBW,RunningPos,Finish_Time,Win_Odds,Class,Loc,Length,Going,Track,Year,Month,Day,RaceNo
1,5,緊張大師(E421),潘頓,大衛希斯,130,1212,3,-,1 1 1 ,0:56.24,1.7,第三班,HV,1000米,好地,"草地 - ""B"" 賽道",2022,3,9,489
2,9,飛凡(E271),莫雷拉,蔡約翰,123,1094,2,3-1/4,4 2 2 ,0:56.78,7,第三班,HV,1000米,好地,"草地 - ""B"" 賽道",2022,3,9,489
3,6,知道再勝(E178),田泰安,沈集成,130,1304,1,4-1/2,3 3 3 ,0:56.97,5.3,第三班,HV,1000米,好地,"草地 - ""B"" 賽道",2022,3,9,489
4,3,巴薩諾瓦(G221),何澤堯,方嘉柏,132,1127,4,5-1/4,5 4 4 ,0:57.08,6.7,第三班,HV,1000米,好地,"草地 - ""B"" 賽道",2022,3,9,489
5,10,顏色大師(E350),潘明輝,告東尼,113,1164,5,5-1/2,6 6 5 ,0:57.12,37,第三班,HV,1000米,好地,"草地 - ""B"" 賽道",2022,3,9,489
6,8,飛霸龍(B033),梁家俊,苗禮德,125,1116,8,6-1/4,7 7 6 ,0:57.23,116,第三班,HV,1000米,好地,"草地 - ""B"" 賽道",2022,3,9,489
7 平頭馬,2,傳盛(B416),陳嘉熙,呂健威,128,1250,7,7-1/4,2 5 7 ,0:57.40,63,第三班,HV,1000米,好地,"草地 - ""B"" 賽道",2022,3,9,489
7 平頭馬,12,齊天大聖(G169),蔡明紹,文家良,113,1159,12,7-1/4,12 11 7 ,0:57.40,86,第三班,HV,1000米,好地,"草地 - ""B"" 賽道",2022,3,9,489
9,1,維港奔流(D042),薛恩,羅富全,133,1146,6,8-1/4,9 9 9 ,0:57.58,21,第三班,HV,1000米,好地,"草地 - ""B"" 賽道",2022,3,9,489
10,4,新力寶(A379),周俊樂,蘇偉賢,128,1197,11,8-1/2,8 10 10 ,0:57.58,171,第三班,HV,1000米,好地,"草地 - ""B"" 賽道",2022,3,9,489
11,7,文明之星(D429),楊明綸,丁冠豪,129,1143,10,8-3/4,10 8 11 ,0:57.64,190,第三班,HV,1000米,好地,"草地 - ""B"" 賽道",2022,3,9,489
12,11,八威小子(G239),巫顯東,賀賢,112,1056,9,11,11 12 12 ,0:58.01,54,第三班,HV,1000米,好地,"草地 - ""B"" 賽道",2022,3,9,489
Place,Horse_No,Horse_Name,Jockey,Trainer,Actual_Weight,Declare_Horse_Wt,Draw,LBW,RunningPos,Finish_Time,Win_Odds,Class,Loc,Length,Going,Track,Year,Month,Day,RaceNo
1,5,皇帝金(E077),賀銘年,大衛希斯,122,1036,10,-,8 8 8 8 1 ,1:49.11,14,第三班,HV,1800米,好地,"草地 - ""B"" 賽道",2022,3,9,490
2,11,焱焱元帥(G053),田泰安,蔡約翰,116,1153,7,3/4,9 10 10 11 2 ,1:49.24,7.6,第三班,HV,1800米,好地,"草地 - ""B"" 賽道",2022,3,9,490
3,8,喜快(G143),何澤堯,沈集成,118,1180,8,1-1/4,10 9 9 7 3 ,1:49.30,7.6,第三班,HV,1800米,好地,"草地 - ""B"" 賽道",2022,3,9,490
4,10,得勝多(E161),蔡明紹,姚本輝,116,1034,9,1-1/2,6 4 3 2 4 ,1:49.33,6.8,第三班,HV,1800米,好地,"草地 - ""B"" 賽道",2022,3,9,490
5,6,友港友笑(D367),莫雷拉,蘇偉賢,120,1059,1,1-1/2,3 5 6 5 5 ,1:49.34,3.4,第三班,HV,1800米,好地,"草地 - ""B"" 賽道",2022,3,9,490
6,12,悅風雲(E235),莫丹尼,丁冠豪,117,1125,11,1-3/4,11 11 11 12 6 ,1:49.39,82,第三班,HV,1800米,好地,"草地 - ""B"" 賽道",2022,3,9,490
7,4,美麗邂逅(E459),霍宏聲,告東尼,124,1139,5,2-1/4,1 2 4 3 7 ,1:49.47,74,第三班,HV,1800米,好地,"草地 - ""B"" 賽道",2022,3,9,490
8,1,皇寶(D416),潘頓,羅富全,133,1223,6,3,2 1 1 1 8 ,1:49.58,3.4,第三班,HV,1800米,好地,"草地 - ""B"" 賽道",2022,3,9,490
9,3,狂舞派(B404),周俊樂,容天鵬,122,1084,3,3,5 6 5 6 9 ,1:49.59,15,第三班,HV,1800米,好地,"草地 - ""B"" 賽道",2022,3,9,490
10,2,好好心得(D433),梁家俊,蘇保羅,125,1064,12,5-1/2,12 12 12 10 10 ,1:50.00,25,第三班,HV,1800米,好地,"草地 - ""B"" 賽道",2022,3,9,490
11,7,飛輪鑽皇(G097),潘明輝,徐雨石,118,1133,4,6-1/2,4 3 2 4 11 ,1:50.13,87,第三班,HV,1800米,好地,"草地 - ""B"" 賽道",2022,3,9,490
12,9,齊喜(G077),楊明綸,高伯新,116,1066,2,11-1/4,7 7 7 9 12 ,1:50.92,162,第三班,HV,1800米,好地,"草地 - ""B"" 賽道",2022,3,9,490
Place,Horse_No,Horse_Name,Jockey,Trainer,Actual_Weight,Declare_Horse_Wt,Draw,LBW,RunningPos,Finish_Time,Win_Odds,Class,Loc,Length,Going,Track,Year,Month,Day,RaceNo
1,7,怪獸媽媽(D408),潘頓,高伯新,124,1274,3,-,2 2 1 ,0:57.10,2.1,第五班,HV,1000米,好地,"草地 - ""C"" 賽道",2022,3,16,501
2,5,高高(D397),馬雅,苗禮德,130,1064,7,3/4,3 3 2 ,0:57.22,29,第五班,HV,1000米,好地,"草地 - ""C"" 賽道",2022,3,16,501
3,2,陽明冠爵(D240),薛恩,韋達,132,1093,6,1-1/4,7 7 3 ,0:57.29,7.6,第五班,HV,1000米,好地,"草地 - ""C"" 賽道",2022,3,16,501
4,9,隨喜(E085),希威森,方嘉柏,122,1104,9,2-1/4,8 10 4 ,0:57.45,35,第五班,HV,1000米,好地,"草地 - ""C"" 賽道",2022,3,16,501
5,6,銀亮之星(B027),莫雷拉,蘇偉賢,128,1090,11,2-1/4,6 5 5 ,0:57.45,31,第五班,HV,1000米,好地,"草地 - ""C"" 賽道",2022,3,16,501
6,4,有苗頭(D097),何澤堯,徐雨石,131,1024,1,2-1/4,10 6 6 ,0:57.46,3.7,第五班,HV,1000米,好地,"草地 - ""C"" 賽道",2022,3,16,501
7,11,精算赤焰(E258),巴度,蔡約翰,120,1103,2,2-3/4,11 8 7 ,0:57.53,8.7,第五班,HV,1000米,好地,"草地 - ""C"" 賽道",2022,3,16,501
8,1,請讓路(E035),楊明綸,大衛希斯,133,1052,8,4,1 1 8 ,0:57.72,28,第五班,HV,1000米,好地,"草地 - ""C"" 賽道",2022,3,16,501
9,3,濃有(C244),梁家俊,文家良,131,1125,5,4-1/4,4 4 9 ,0:57.77,27,第五班,HV,1000米,好地,"草地 - ""C"" 賽道",2022,3,16,501
10,10,大紅星(D305),蔡明紹,容天鵬,120,1054,4,4-1/2,5 9 10 ,0:57.82,50,第五班,HV,1000米,好地,"草地 - ""C"" 賽道",2022,3,16,501
11,8,怪獸厨神(D411),田泰安,何良,123,1044,12,6-1/4,9 12 11 ,0:58.12,32,第五班,HV,1000米,好地,"草地 - ""C"" 賽道",2022,3,16,501
12,12,海王駒(D063),巫顯東,鄭俊偉,111,1069,10,7,12 11 12 ,0:58.23,80,第五班,HV,1000米,好地,"草地 - ""C"" 賽道",2022,3,16,501
Place,Horse_No,Horse_Name,Jockey,Trainer,Actual_Weight,Declare_Horse_Wt,Draw,LBW,RunningPos,Finish_Time,Win_Odds,Class,Loc,Length,Going,Track,Year,Month,Day,RaceNo
1,10,金剛福星(D017),莫雷拉,蔡約翰,116,1025,5,-,9 10 4 1 ,1:40.19,3.6,第五班,HV,1650米,好地,"草地 - ""C"" 賽道",2022,3,16,502
2,12,勝出魅力(D192),田泰安,韋達,113,1211,2,1,7 7 2 2 ,1:40.35,5.5,第五班,HV,1650米,好地,"草地 - ""C"" 賽道",2022,3,16,502
3,11,怡威(C496),馬雅,苗禮德,117,1041,3,3-1/4,5 6 6 3 ,1:40.69,12,第五班,HV,1650米,好地,"草地 - ""C"" 賽道",2022,3,16,502
4,9,巴基勇士(D312),班德禮,蘇偉賢,120,1137,11,3-1/2,11 11 12 4 ,1:40.74,24,第五班,HV,1650米,好地,"草地 - ""C"" 賽道",2022,3,16,502
5,4,勁叻仔(D513),賀銘年,鄭俊偉,127,1060,4,4-1/4,8 8 7 5 ,1:40.85,6,第五班,HV,1650米,好地,"草地 - ""C"" 賽道",2022,3,16,502
6,8,合進駒(A327),蔡明紹,容天鵬,121,1159,1,4-1/4,4 3 3 6 ,1:40.85,25,第五班,HV,1650米,好地,"草地 - ""C"" 賽道",2022,3,16,502
7,1,天衣無縫(C261),潘頓,文家良,133,1122,10,4-3/4,2 1 1 7 ,1:40.95,4.4,第五班,HV,1650米,好地,"草地 - ""C"" 賽道",2022,3,16,502
8,2,謎語(D491),巴度,徐雨石,132,1010,12,6-1/2,12 12 9 8 ,1:41.24,13,第五班,HV,1650米,好地,"草地 - ""C"" 賽道",2022,3,16,502
9,3,小武士(E267),霍宏聲,方嘉柏,131,1140,8,11,10 9 8 9 ,1:41.95,12,第五班,HV,1650米,好地,"草地 - ""C"" 賽道",2022,3,16,502
10,7,幸運勇駒(E292),潘明輝,蘇保羅,121,1090,7,18,6 5 11 10 ,1:43.05,80,第五班,HV,1650米,好地,"草地 - ""C"" 賽道",2022,3,16,502
11,6,氣宇軒航(E019),陳嘉熙,葉楚航,121,1085,6,23,3 4 10 11 ,1:43.87,49,第五班,HV,1650米,好地,"草地 - ""C"" 賽道",2022,3,16,502
12,5,富存鉅星(E248),巫顯東,何良,125,1115,9,28-1/4,1 2 5 12 ,1:44.72,140,第五班,HV,1650米,好地,"草地 - ""C"" 賽道",2022,3,16,502
Place,Horse_No,Horse_Name,Jockey,Trainer,Actual_Weight,Declare_Horse_Wt,Draw,LBW,RunningPos,Finish_Time,Win_Odds,Class,Loc,Length,Going,Track,Year,Month,Day,RaceNo
1,3,包裝風雲(E381),莫雷拉,沈集成,127,1065,4,-,8 7 8 6 1 ,1:49.34,2.1,第四班,HV,1800米,好地,"草地 - ""C"" 賽道",2022,3,16,503
2,8,勁力威龍(C437),何澤堯,文家良,121,1113,1,2,5 4 4 3 2 ,1:49.68,10,第四班,HV,1800米,好地,"草地 - ""C"" 賽道",2022,3,16,503
3,1,瑪神滿紛(E319),潘頓,容天鵬,133,1174,10,2-1/4,4 2 2 2 3 ,1:49.69,7.9,第四班,HV,1800米,好地,"草地 - ""C"" 賽道",2022,3,16,503
4,2,自然力量(C461),梁家俊,姚本輝,130,1114,9,2-3/4,3 5 5 7 4 ,1:49.77,9.7,第四班,HV,1800米,好地,"草地 - ""C"" 賽道",2022,3,16,503
5,10,赤子雄心(E489),巴度,方嘉柏,117,991,7,3-1/2,2 3 3 5 5 ,1:49.92,24,第四班,HV,1800米,好地,"草地 - ""C"" 賽道",2022,3,16,503
6,7,勝利波幅(D499),田泰安,呂健威,122,1033,5,3-3/4,9 9 10 10 6 ,1:49.94,7.9,第四班,HV,1800米,好地,"草地 - ""C"" 賽道",2022,3,16,503
7,9,錶之皇者(B398),波健士,蘇保羅,121,1271,2,5-1/4,6 6 7 8 7 ,1:50.18,16,第四班,HV,1800米,好地,"草地 - ""C"" 賽道",2022,3,16,503
8,6,活力得勝(C091),賀銘年,蘇保羅,123,1126,8,6-1/2,7 8 9 9 8 ,1:50.37,34,第四班,HV,1800米,好地,"草地 - ""C"" 賽道",2022,3,16,503
9,4,請飲茶(G040),班德禮,羅富全,123,1204,3,7-1/2,1 1 1 1 9 ,1:50.53,8.1,第四班,HV,1800米,好地,"草地 - ""C"" 賽道",2022,3,16,503
10,5,御風超影(C268),楊明綸,丁冠豪,123,1031,6,8-3/4,10 10 6 4 10 ,1:50.75,30,第四班,HV,1800米,好地,"草地 - ""C"" 賽道",2022,3,16,503
