Place,Horse_No,Horse_Name,Jockey,Trainer,Actual_Weight,Declare_Horse_Wt,Draw,LBW,RunningPos,Finish_Time,Win_Odds,Class,Loc,Length,Going,Track,Year,Month,Day,RaceNo
Place,Horse_No,Horse_Name,Jockey,Trainer,Actual_Weight,Declare_Horse_Wt,Draw,LBW,RunningPos,Finish_Time,Win_Odds,Class,Loc,Length,Going,Track,Year,Month,Day,RaceNo
1,5,辣得驕(D159),何澤堯,呂健威,128,1000,1,-,8 7 1 ,1:09.62,4.3,第五班,HV,1200米,好地至快地,"草地 - ""C"" 賽道",2021,9,15,31
2,6,怪獸媽媽(D408),巫顯東,何良,124,1244,6,2,1 1 2 ,1:09.92,9.4,第五班,HV,1200米,好地至快地,"草地 - ""C"" 賽道",2021,9,15,31
3,4,神朗金剛(D177),潘頓,葉楚航,129,1047,4,2-1/4,5 5 3 ,1:09.97,7.4,第五班,HV,1200米,好地至快地,"草地 - ""C"" 賽道",2021,9,15,31
4,7,合金皇(D287),賀銘年,丁冠豪,122,1084,5,2-3/4,3 2 4 ,1:10.06,8.5,第五班,HV,1200米,好地至快地,"草地 - ""C"" 賽道",2021,9,15,31
5,1,小武士(E267),莫雷拉,方嘉柏,132,1120,9,2-3/4,4 4 5 ,1:10.07,14,第五班,HV,1200米,好地至快地,"草地 - ""C"" 賽道",2021,9,15,31
6,3,巴基勇士(D312),巴度,蘇偉賢,129,1131,7,4-1/2,9 10 6 ,1:10.34,13,第五班,HV,1200米,好地至快地,"草地 - ""C"" 賽道",2021,9,15,31
7,11,鑲藍旗(C167),田泰安,文家良,119,1125,10,5,6 6 7 ,1:10.41,14,第五班,HV,1200米,好地至快地,"草地 - ""C"" 賽道",2021,9,15,31
8,2,謎語(D491),黃皓楠,徐雨石,127,1005,2,5-1/2,10 9 8 ,1:10.50,4.3,第五班,HV,1200米,好地至快地,"草地 - ""C"" 賽道",2021,9,15,31
9,10,威力喜(D074),黎海榮,霍利時,119,970,12,6-1/4,11 11 9 ,1:10.61,141,第五班,HV,1200米,好地至快地,"草地 - ""C"" 賽道",2021,9,15,31
10,8,又享耆成(E069),蔡明紹,容天鵬,122,1055,8,6-1/2,12 12 10 ,1:10.65,10,第五班,HV,1200米,好地至快地,"草地 - ""C"" 賽道",2021,9,15,31
11,9,勝出魅力(D192),霍宏聲,韋達,122,1196,3,6-1/2,7 8 11 ,1:10.67,19,第五班,HV,1200米,好地至快地,"草地 - ""C"" 賽道",2021,9,15,31
12,12,玩斗財星(C243),潘明輝,高伯新,116,1104,11,20,2 3 12 ,1:12.80,46,第五班,HV,1200米,好地至快地,"草地 - ""C"" 賽道",2021,9,15,31
